State,Year,Teachers,Students
Alabama,1970,33026,805205
Alaska,1970,3821,79845
Arizona,1970,18772,439524
Arkansas,1970,21122,463320
California,1970,193000,4633198
Colorado,1970,24450,550060
Connecticut,1970,31323,662205
Delaware,1970,6034,132745
District of Columbia,1970,7486,145704
Florida,1970,62419,1427896
Georgia,1970,44007,1098901
Hawaii,1970,7985,180641
Idaho,1970,8047,182333
Illinois,1970,111827,2356636
Indiana,1970,50421,1231458
Iowa,1970,32659,660104
Kansas,1970,25884,513394
Kentucky,1970,30180,717205
Louisiana,1970,36469,842365
Maine,1970,11170,244670
Maryland,1970,40810,916244
Massachusetts,1970,55300,1167713
Michigan,1970,93000,2152256
Minnesota,1970,43809,920839
Mississippi,1970,22533,534395
Missouri,1970,48286,1039477
Montana,1970,8406,176712
Nebraska,1970,17230,329110
Nevada,1970,4967,127550
New Hampshire,1970,7441,158756
New Jersey,1970,72140,1482000
New Mexico,1970,11620,281372
New York,1970,177066,3489245
North Carolina,1970,49565,1192187
North Dakota,1970,7659,147013
Ohio,1970,104680,2425643
Oklahoma,1970,28184,626956
Oregon,1970,21641,479527
Pennsylvania,1970,108772,2363817
Rhode Island,1970,8988,188090
South Carolina,1970,28578,637800
South Dakota,1970,8698,166305
Tennessee,1970,35450,899893
Texas,1970,129440,2839900
Utah,1970,11736,304002
Vermont,1970,5750,103130
Virginia,1970,47903,1078754
Washington,1970,33380,817712
West Virginia,1970,16582,399531
Wisconsin,1970,44460,993736
Wyoming,1970,4568,86886
Alabama,1971,33172,806315
Alaska,1971,4087,84381
Arizona,1971,19010,464478
Arkansas,1971,20305,461260
California,1971,199178,4601550
Colorado,1971,24593,564502
Connecticut,1971,33909,666867
Delaware,1971,6220,135013
District of Columbia,1971,6529,142512
Florida,1971,63245,1478504
Georgia,1971,44732,1093407
Hawaii,1971,8235,183654
Idaho,1971,8024,185114
Illinois,1971,110000,2379646
Indiana,1971,52297,1230796
Iowa,1971,32494,652958
Kansas,1971,24743,505267
Kentucky,1971,31020,720309
Louisiana,1971,37203,851074
Maine,1971,11400,246406
Maryland,1971,41998,922051
Massachusetts,1971,54763,1191179
Michigan,1971,89236,2182885
Minnesota,1971,44535,913955
Mississippi,1971,22849,529366
Missouri,1971,43872,1023374
Montana,1971,8480,178367
Nebraska,1971,16642,332375
Nevada,1971,5329,130186
New Hampshire,1971,7450,164102
New Jersey,1971,76260,1497841
New Mexico,1971,12272,284948
New York,1971,180071,3538474
North Carolina,1971,49402,1176308
North Dakota,1971,7490,144419
Ohio,1971,100776,2438743
Oklahoma,1971,27515,625740
Oregon,1971,22831,478502
Pennsylvania,1971,109035,2370665
Rhode Island,1971,9226,190696
South Carolina,1971,25729,648643
South Dakota,1971,8269,165267
Tennessee,1971,36089,897598
Texas,1971,125050,2811700
Utah,1971,12127,305740
Vermont,1971,6169,105340
Virginia,1971,48774,1074073
Washington,1971,33480,805049
West Virginia,1971,17248,403377
Wisconsin,1971,44898,999921
Wyoming,1971,4672,86430
Alabama,1972,33730,783383
Alaska,1972,4142,85332
Arizona,1972,20368,485088
Arkansas,1972,20611,461431
California,1972,198483,4500978
Colorado,1972,25476,574248
Connecticut,1972,34077,664761
Delaware,1972,6220,134317
District of Columbia,1972,6561,139918
Florida,1972,66563,1514359
Georgia,1972,44536,1090280
Hawaii,1972,8310,181979
Idaho,1972,7664,184663
Illinois,1972,109824,2354562
Indiana,1972,52400,1220543
Iowa,1972,32749,646408
Kansas,1972,25360,491765
Kentucky,1972,31465,714632
Louisiana,1972,41837,845841
Maine,1972,12213,250448
Maryland,1972,41681,920896
Massachusetts,1972,60233,1202597
Michigan,1972,89969,2164949
Minnesota,1972,43944,909653
Mississippi,1972,23329,526366
Missouri,1972,45414,1030008
Montana,1972,8875,179877
Nebraska,1972,16999,329192
Nevada,1972,5411,131660
New Hampshire,1972,8564,168094
New Jersey,1972,79347,1510519
New Mexico,1972,12320,285094
New York,1972,185368,3508004
North Carolina,1972,49571,1161326
North Dakota,1972,7454,141535
Ohio,1972,103487,2422654
Oklahoma,1972,27401,607084
Oregon,1972,22216,471395
Pennsylvania,1972,111682,2361285
Rhode Island,1972,9484,189693
South Carolina,1972,26957,623778
South Dakota,1972,8253,162398
Tennessee,1972,36200,891775
Texas,1972,127237,2738131
Utah,1972,12248,305916
Vermont,1972,6192,106517
Virginia,1972,49743,1069345
Washington,1972,32733,790502
West Virginia,1972,17958,409989
Wisconsin,1972,48122,995223
Wyoming,1972,4735,86017
Alabama,1973,34234,770739
Alaska,1973,4046,82505
Arizona,1973,21352,521240
Arkansas,1973,20053,450114
California,1973,200475,4459328
Colorado,1973,26392,573154
Connecticut,1973,34750,667088
Delaware,1973,6280,132940
District of Columbia,1973,6580,136036
Florida,1973,67532,1537952
Georgia,1973,45375,1085881
Hawaii,1973,7877,178511
Idaho,1973,8263,189133
Illinois,1973,110831,2320672
Indiana,1973,52046,1207420
Iowa,1973,32708,631132
Kansas,1973,25529,479344
Kentucky,1973,31412,709764
Louisiana,1973,41884,842152
Maine,1973,11612,245467
Maryland,1973,42793,911097
Massachusetts,1973,66249,1205142
Michigan,1973,91429,2123611
Minnesota,1973,43621,900377
Mississippi,1973,23472,519786
Missouri,1973,46680,1019803
Montana,1973,8903,173559
Nebraska,1973,17289,323211
Nevada,1973,5571,135406
New Hampshire,1973,8675,171482
New Jersey,1973,79156,1481605
New Mexico,1973,12520,283550
New York,1973,186386,3465450
North Carolina,1973,51277,1173415
North Dakota,1973,7569,138302
Ohio,1973,105127,2378349
Oklahoma,1973,27611,600948
Oregon,1973,22250,476518
Pennsylvania,1973,113089,2321437
Rhode Island,1973,9426,184624
South Carolina,1973,26960,626914
South Dakota,1973,8127,157522
Tennessee,1973,37150,902704
Texas,1973,130517,2782151
Utah,1973,12320,305800
Vermont,1973,6262,106236
Virginia,1973,51761,1085295
Washington,1973,32689,788324
West Virginia,1973,18474,409184
Wisconsin,1973,48432,987022
Wyoming,1973,4863,85391
Alabama,1974,35380,764341
Alaska,1974,4090,86576
Arizona,1974,21206,487040
Arkansas,1974,20678,454406
California,1974,202929,4427443
Colorado,1974,26279,568060
Connecticut,1974,35474,660067
Delaware,1974,6349,130616
District of Columbia,1974,6928,131691
Florida,1974,70842,1557054
Georgia,1974,46446,1081485
Hawaii,1974,7806,177030
Idaho,1974,8563,187552
Illinois,1974,112749,2296241
Indiana,1974,49302,1186800
Iowa,1974,32715,617485
Kansas,1974,25573,471460
Kentucky,1974,31755,701373
Louisiana,1974,42132,840742
Maine,1974,12017,250643
Maryland,1974,42802,894209
Massachusetts,1974,67220,1210100
Michigan,1974,90481,2137612
Minnesota,1974,43817,889535
Mississippi,1974,23580,513476
Missouri,1974,47391,1001705
Montana,1974,9015,172158
Nebraska,1974,17367,318792
Nevada,1974,5616,137051
New Hampshire,1974,9360,172117
New Jersey,1974,80448,1466956
New Mexico,1974,12651,282382
New York,1974,188961,3434116
North Carolina,1974,51221,1177860
North Dakota,1974,7577,133241
Ohio,1974,104512,2330150
Oklahoma,1974,28986,596380
Oregon,1974,22300,476583
Pennsylvania,1974,115668,2277451
Rhode Island,1974,9329,178662
South Carolina,1974,27804,627205
South Dakota,1974,8118,153592
Tennessee,1974,39278,872819
